time,consumption_kw
2019-10-07 01:10:00,0.55029298
2019-10-07 02:10:00,0.50976562
2019-10-07 03:10:00,0.41015626
2019-10-07 04:10:00,0.51953124
2019-10-07 05:10:00,0.54003906
2019-10-07 06:10:00,0.55029298
2019-10-07 07:10:00,0.43017578
2019-10-07 08:10:00,0.5
2019-10-07 09:10:00,0.64990234
2019-10-07 10:10:00,1.52001954
2019-10-07 11:10:00,1.4501953
2019-10-07 12:10:00,1.1796875
2019-10-07 13:10:00,0.37988282
2019-10-07 14:10:00,0.60058594
2019-10-07 15:10:00,0.93945312
2019-10-07 16:10:00,1.36035156
2019-10-07 17:10:00,0.72998046
2019-10-07 18:10:00,0.8598633
2019-10-07 19:10:00,0.75
2019-10-07 20:10:00,0.6796875
2019-10-07 21:10:00,0.48046874
2019-10-07 22:10:00,0.90966796
2019-10-07 23:10:00,1.0600586
2019-10-08 00:10:00,0.4296875
2019-10-08 01:10:00,0.37060548
2019-10-08 02:10:00,0.44970702
2019-10-08 03:10:00,0.47021484
2019-10-08 04:10:00,0.39013672
2019-10-08 05:10:00,0.39941406
2019-10-08 06:10:00,0.47021486
2019-10-08 07:10:00,0.59033202
2019-10-08 08:10:00,0.41992188
2019-10-08 09:10:00,1.16015624
2019-10-08 10:10:00,0.45996094
2019-10-08 11:10:00,1.84960938
2019-10-08 12:10:00,0.74023438
2019-10-08 13:10:00,0.66992188
2019-10-08 14:10:00,0.54003906
2019-10-08 15:10:00,0.63964844
2019-10-08 16:10:00,0.48046874
2019-10-08 17:10:00,2.15966796
2019-10-08 18:10:00,1.05029298
2019-10-08 19:10:00,0.83007812
2019-10-08 20:10:00,0.75976562
2019-10-08 21:10:00,0.49023438
2019-10-08 22:10:00,0.97998048
2019-10-08 23:10:00,1.07958984
2019-10-09 00:10:00,0.88037108
2019-10-09 01:10:00,0.4897461
2019-10-09 02:10:00,0.58984376
2019-10-09 03:10:00,0.58984374
2019-10-09 04:10:00,0.5703125
2019-10-09 05:10:00,1.08007812
2019-10-09 06:10:00,1.60009766
2019-10-09 07:10:00,0.77978516
2019-10-09 08:10:00,0.47998046
2019-10-09 09:10:00,0.51025392
2019-10-09 10:10:00,0.58007812
2019-10-09 11:10:00,0.59960938
2019-10-09 12:10:00,0.5102539
2019-10-09 13:10:00,0.47998048
2019-10-09 14:10:00,0.8198242
2019-10-09 15:10:00,0.45996094
2019-10-09 16:10:00,0.76025392
2019-10-09 17:10:00,0.77978514
2019-10-09 18:10:00,1.8803711
2019-10-09 19:10:00,1.19970704
2019-10-09 20:10:00,2.30029296
2019-10-09 21:10:00,0.9296875
2019-10-09 22:10:00,1.0703125
2019-10-09 23:10:00,0.57958984
2019-10-10 00:10:00,0.56982422
2019-10-10 01:10:00,0.5
2019-10-10 02:10:00,0.6201172
2019-10-10 03:10:00,0.62011718
2019-10-10 04:10:00,0.66992188
2019-10-10 05:10:00,1.02001952
2019-10-10 06:10:00,0.59033204
2019-10-10 07:10:00,0.72998046
2019-10-10 08:10:00,0.51025392
2019-10-10 09:10:00,0.54980468
2019-10-10 10:10:00,0.59960938
2019-10-10 11:10:00,0.80029296
2019-10-10 12:10:00,1.08007812
2019-10-10 13:10:00,1.0
2019-10-10 14:10:00,1.2397461
2019-10-10 15:10:00,0.97998048
2019-10-10 16:10:00,1.56982422
2019-10-10 17:10:00,0.83984374
2019-10-10 18:10:00,1.0703125
2019-10-10 19:10:00,1.34033204
2019-10-10 20:10:00,1.21972656
2019-10-10 21:10:00,1.27001952
2019-10-10 22:10:00,0.53027344
2019-10-10 23:10:00,1.52929688
2019-10-11 00:10:00,0.390625
2019-10-11 01:10:00,0.33007812
2019-10-11 02:10:00,0.5
2019-10-11 03:10:00,0.37988282
2019-10-11 04:10:00,0.47949218
2019-10-11 05:10:00,1.6904297
2019-10-11 06:10:00,0.7001953
2019-10-11 07:10:00,0.609375
2019-10-11 08:10:00,0.4404297
2019-10-11 09:10:00,0.3798828
2019-10-11 10:10:00,0.81982422
2019-10-11 11:10:00,0.62060548
2019-10-11 12:10:00,1.2495117
2019-10-11 13:10:00,0.58007814
2019-10-11 14:10:00,1.41992186
2019-10-11 15:10:00,0.6201172
2019-10-11 16:10:00,0.54003906
2019-10-11 17:10:00,0.5102539
2019-10-11 18:10:00,0.84960938
2019-10-11 19:10:00,1.22021484
2019-10-11 20:10:00,1.10009766
2019-10-11 21:10:00,0.95996094
2019-10-11 22:10:00,0.97998046
2019-10-11 23:10:00,1.10009766
2019-10-12 00:10:00,0.49023438
2019-10-12 01:10:00,0.43945312
2019-10-12 02:10:00,0.3701172
2019-10-12 03:10:00,0.58007812
2019-10-12 04:10:00,0.50976562
2019-10-12 05:10:00,0.70019532
2019-10-12 06:10:00,0.37011718
2019-10-12 07:10:00,0.45019532
2019-10-12 08:10:00,0.4296875
2019-10-12 09:10:00,0.3095703
2019-10-12 10:10:00,0.45996094
2019-10-12 11:10:00,0.77050782
2019-10-12 12:10:00,1.08984374
2019-10-12 13:10:00,0.37988282
2019-10-12 14:10:00,1.5
2019-10-12 15:10:00,0.48046874
2019-10-12 16:10:00,0.31933594
2019-10-12 17:10:00,0.49023438
2019-10-12 18:10:00,0.58007812
2019-10-12 19:10:00,1.60009766
2019-10-12 20:10:00,1.37988282
2019-10-12 21:10:00,1.0
